"","FIPS","kghumanNintakecnty_17[, 1]"
"288",10001,1246752.82905749
"289",10003,4018582.6488474
"290",10005,1510285.07828745
"291",11001,4471374.23005653
"1160",24001,552751.212149063
"1161",24003,4026928.58292999
"1162",24005,5998393.99038169
"1163",24009,673821.94312049
"1164",24011,248160.569363914
"1165",24013,1253734.51817336
"1166",24015,766299.379825445
"1167",24017,1116651.91581191
"1168",24019,242877.237093708
"1169",24021,1773422.9235553
"1170",24023,221835.154944358
"1171",24025,1840138.61211451
"1172",24027,2170239.41760901
"1173",24029,150089.286407234
"1174",24031,7295590.30113181
"1175",24033,6444494.08218857
"1176",24035,362364.41214557
"1177",24037,801616.734436799
"1178",24039,197312.552160092
"1179",24041,283857.632443813
"1180",24043,1107670.26614981
"1181",24045,747251.418521668
"1182",24047,385846.541448124
"1183",24510,4524845.04904754
"1796",36003,358720.531888203
"1798",36007,1476189.21953986
"1802",36015,650350.126773036
"1803",36017,370070.127081008
"1806",36023,364118.664952514
"1807",36025,352945.657969293
"1816",36043,474892.008798012
"1820",36051,482755.183467782
"1821",36053,546303.789583686
"1823",36057,370283.52640329
"1827",36065,1727456.51987113
"1828",36067,3449353.01458838
"1829",36069,805541.707691102
"1833",36077,458984.610141148
"1842",36095,242697.695568214
"1843",36097,133678.577252643
"1845",36101,728796.542198023
"1848",36107,375228.358273053
"1849",36109,754799.644595498
"1856",36123,187590.634000542
"2211",42001,761079.318385535
"2215",42009,365841.989399663
"2216",42011,3083190.19372287
"2217",42013,932147.391360156
"2218",42015,460593.164758208
"2221",42021,1044121.64557744
"2222",42023,36109.1400297478
"2223",42025,489616.156000467
"2224",42027,1159951.67988055
"2225",42029,3767228.4823737
"2227",42033,598193.767815877
"2228",42035,290677.40340737
"2229",42037,499810.491018721
"2231",42041,1764194.06139888
"2232",42043,1996778.37797375
"2234",42047,230412.110271991
"2238",42055,1130831.54465587
"2239",42057,110094.908301412
"2241",42061,338327.461456223
"2242",42063,652947.612586606
"2243",42065,331522.411779213
"2244",42067,183952.643859716
"2245",42069,1579593.87456684
"2246",42071,3894082.95808034
"2248",42075,1002333.29100999
"2250",42079,2363897.78497845
"2251",42081,848603.067399457
"2252",42083,316063.883668633
"2254",42087,343793.272501041
"2257",42093,134461.514201918
"2259",42097,695533.630561342
"2260",42099,341741.754069092
"2263",42105,127538.731931415
"2264",42107,1088157.24304597
"2265",42109,295316.134697167
"2266",42111,568699.833260731
"2267",42113,47111.4201103942
"2268",42115,320676.126753643
"2269",42117,309807.77028586
"2270",42119,335628.402360676
"2274",42127,396190.970574894
"2276",42131,208354.5659815
"2277",42133,3279022.24320358
"2787",51001,236468.076098313
"2788",51003,757302.987213057
"2789",51005,124465.864508395
"2790",51007,95276.5609370537
"2791",51009,238741.816081349
"2792",51011,112043.413317857
"2793",51013,1554548.87802072
"2794",51015,554654.11436102
"2795",51017,34346.0684732549
"2796",51019,517567.777592394
"2798",51023,247819.137678635
"2801",51029,128408.494599709
"2802",51031,409088.788313689
"2803",51033,219499.604074126
"2805",51036,53878.2038630856
"2806",51037,92780.5949338235
"2807",51041,2409895.12487935
"2808",51043,105301.644765209
"2809",51045,38335.7919972404
"2810",51047,361844.906439551
"2811",51049,75489.824613563
"2813",51053,211146.339744821
"2814",51057,83763.6107659392
"2815",51059,8124566.95547949
"2816",51061,494600.74158277
"2818",51065,197350.816229258
"2820",51069,604302.719868856
"2821",51071,128122.987358154
"2822",51073,274274.057658168
"2823",51075,166945.905238409
"2825",51079,140065.668801934
"2828",51085,754762.856451026
"2829",51087,2324239.0217303
"2831",51091,16762.4348812382
"2832",51093,267686.815685245
"2833",51095,520904.062079124
"2834",51097,51567.6669404505
"2835",51099,183519.969602042
"2836",51101,121360.619359386
"2837",51103,83560.5176472896
"2839",51107,2508135.6563747
"2840",51109,255028.899273552
"2841",51111,94684.9461952273
"2842",51113,99085.2724052972
"2843",51115,65726.7040278518
"2845",51119,82152.1220207926
"2846",51121,710413.780734666
"2847",51125,111369.380827712
"2848",51127,142917.790800912
"2849",51131,90127.1540586196
"2850",51133,90833.563607579
"2851",51135,116841.093432302
"2852",51137,257551.354577573
"2853",51139,178183.651482146
"2856",51145,214716.643280007
"2857",51147,177319.782427157
"2858",51149,266820.004835294
"2859",51153,3136442.94547249
"2861",51157,54827.4384427387
"2862",51159,68749.5313409731
"2863",51161,689449.702777021
"2864",51163,166349.879734752
"2865",51165,574189.194616205
"2868",51171,319182.376143731
"2871",51177,947742.806250928
"2872",51179,1002685.01267085
"2873",51181,52272.6020479157
"2876",51187,285308.714198464
"2878",51193,129516.668406773
"2881",51199,495201.179209072
"2882",51510,1047119.287748
"2885",51530,49376.3439604683
"2886",51540,317590.074938806
"2887",51550,1668988.14965565
"2889",51570,128873.544422731
"2890",51580,43360.1142435813
"2893",51600,167612.568565769
"2894",51610,93620.9390454307
"2896",51630,186074.791012175
"2898",51650,998062.498797019
"2899",51660,372358.588446512
"2900",51670,166582.399839071
"2901",51678,52075.3541849946
"2902",51680,571216.405307885
"2903",51683,282254.994227156
"2904",51685,110888.191569251
"2906",51700,1330640.07022108
"2907",51710,1799003.64709196
"2909",51730,236616.727936849
"2910",51735,90264.0120275916
"2911",51740,695582.207182276
"2913",51760,1512142.28679667
"2917",51790,174575.103354185
"2918",51800,653180.146203295
"2919",51810,3241679.8989462
"2920",51820,156757.48595644
"2921",51830,106564.334338838
"2922",51840,196664.963886839
"2963",54003,808112.732982384
"2973",54023,88776.1506376287
"2974",54025,262587.446468876
"2975",54027,181871.686797479
"2977",54031,105197.160100379
"2980",54037,410301.446047335
"2990",54057,209264.066541125
"2993",54063,97762.2302917635
"2994",54065,132897.118861831
"2997",54071,55885.5764519746
"2999",54075,63551.5573596209
"3000",54077,252814.018481611
"3003",54083,218055.882574423
"3008",54093,52281.4325419823
